input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,algorithm,user,system,maximum resident set size (kB)
input/test_n12000_m100000_f2_no3.utv,12000,100000,2,0,25,0,0.053774905,0.085335416,0.042472878,0.000621185,0.128429479,0.15,0.01,25216
input/test_n13000_m100000_f2_no1.utv,13000,100000,2,0,21,0,0.056687501,0.076332056,0.062697439,0.000555688,0.139585183,0.16,0.01,25392
input/test_n13000_m100000_f2_no2.utv,13000,100000,2,0,31,0,0.055787472,0.094623422,0.059307408,0.000595005,0.154525835,0.18,0.00,25392
input/test_n13000_m100000_f2_no3.utv,13000,100000,2,0,28,0,0.068230994,0.088213096,0.057132363,0.000669490,0.146014949,0.16,0.01,25392
input/test_n14000_m100000_f2_no1.utv,14000,100000,2,0,26,0,0.059428435,0.086042891,0.087497876,0.000730667,0.174271434,0.20,0.00,25564
input/test_n14000_m100000_f2_no2.utv,14000,100000,2,0,24,0,0.065985110,0.083109271,0.090732168,0.000657465,0.174498904,0.19,0.01,25560
input/test_n14000_m100000_f2_no3.utv,14000,100000,2,0,22,0,0.057282701,0.081760687,0.092565459,0.000818168,0.175144314,0.20,0.00,25560
input/test_n15000_m100000_f2_no1.utv,15000,100000,2,0,29,0,0.062292656,0.092183994,0.117034861,0.000656568,0.209875423,0.24,0.00,25736
input/test_n15000_m100000_f2_no2.utv,15000,100000,2,0,29,0,0.060578734,0.094143310,0.112057540,0.000947824,0.207148674,0.23,0.01,25736
input/test_n15000_m100000_f2_no3.utv,15000,100000,2,0,25,0,0.061530781,0.083838750,0.112657021,0.000496736,0.196992507,0.22,0.01,25736
input/test_n16000_m100000_f2_no1.utv,16000,100000,2,0,26,0,0.053934852,0.085589623,0.156216139,0.000594043,0.242399805,0.26,0.01,25904
input/test_n16000_m100000_f2_no2.utv,16000,100000,2,0,23,0,0.061483913,0.082476833,0.150161264,0.000777213,0.233415310,0.26,0.00,25912
input/test_n16000_m100000_f2_no3.utv,16000,100000,2,0,29,0,0.057710299,0.093964951,0.151648579,0.000694893,0.246308423,0.27,0.01,25904
input/test_n17000_m100000_f2_no1.utv,17000,100000,2,0,23,0,0.065351059,0.083538144,0.192069327,0.000809382,0.276416853,0.30,0.01,26084
input/test_n17000_m100000_f2_no2.utv,17000,100000,2,0,28,0,0.057012293,0.093974788,0.207976403,0.000892110,0.302843301,0.32,0.01,26076
input/test_n17000_m100000_f2_no3.utv,17000,100000,2,0,30,0,0.060520649,0.098721079,0.195721940,0.000842581,0.295285600,0.32,0.00,26080
input/test_n18000_m100000_f2_no1.utv,18000,100000,2,0,40,0,0.056784196,0.107252382,0.243278092,0.000742147,0.351272621,0.37,0.01,26252
input/test_n18000_m100000_f2_no2.utv,18000,100000,2,0,28,0,0.213946376,0.088470456,0.249277412,0.000768007,0.338515875,0.36,0.01,26252
input/test_n18000_m100000_f2_no3.utv,18000,100000,2,0,25,0,0.080205941,0.083697946,0.247219333,0.000713760,0.331631039,0.35,0.01,26248
input/test_n19000_m100000_f2_no1.utv,19000,100000,2,0,34,0,0.063196987,0.107287981,0.316865224,0.001128411,0.425281616,0.45,0.01,26424
input/test_n19000_m100000_f2_no2.utv,19000,100000,2,0,32,0,0.061107755,0.093301823,0.306679842,0.000812726,0.400794391,0.43,0.00,26428
input/test_n19000_m100000_f2_no3.utv,19000,100000,2,0,33,0,0.056195252,0.105480453,0.316399144,0.001163644,0.423043241,0.44,0.01,26424
input/test_n20000_m100000_f2_no1.utv,20000,100000,2,0,33,0,0.060853266,0.096042527,0.377454347,0.000886792,0.474383666,0.50,0.01,26596
input/test_n20000_m100000_f2_no2.utv,20000,100000,2,0,39,0,0.092961203,0.109710287,0.371649358,0.000966681,0.482326326,0.50,0.01,26596
input/test_n20000_m100000_f2_no3.utv,20000,100000,2,0,34,0,0.572173501,0.149612459,0.386516283,0.001231462,0.537360204,0.56,0.01,26592
