input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
test_n1000_m100000_f0_no1.utv,1000,100000,0.202651,0.000259,36.051594,0.047357,36.302521,36.21,0.09,11172
test_n1000_m100000_f0_no2.utv,1000,100000,0.203344,0.000268,36.083183,0.046722,36.334183,36.25,0.08,11224
test_n1000_m100000_f0_no3.utv,1000,100000,0.206437,0.000264,35.999001,0.046899,36.253410,36.18,0.07,11160
test_n2000_m100000_f0_no1.utv,2000,100000,0.211411,0.000542,74.239319,0.046508,74.498230,74.42,0.07,11756
test_n2000_m100000_f0_no2.utv,2000,100000,0.201339,0.000516,70.366333,0.040221,70.608810,70.53,0.08,11708
test_n2000_m100000_f0_no3.utv,2000,100000,0.201541,0.000515,74.342209,0.046492,74.591148,74.53,0.06,11680
test_n3000_m100000_f0_no1.utv,3000,100000,0.205223,0.000799,113.614151,0.039534,113.860039,113.82,0.04,12200
test_n3000_m100000_f0_no2.utv,3000,100000,0.206751,0.000886,114.820671,0.047208,115.075890,114.99,0.08,12244
test_n3000_m100000_f0_no3.utv,3000,100000,0.204773,0.000772,114.012878,0.041794,114.260635,114.21,0.05,12188
test_n4000_m100000_f0_no1.utv,4000,100000,0.208659,0.001051,158.118347,0.021942,158.350357,158.29,0.06,12696
test_n4000_m100000_f0_no2.utv,4000,100000,0.207339,0.001048,150.528717,0.020704,150.758209,150.66,0.09,12692
test_n4000_m100000_f0_no3.utv,4000,100000,0.209095,0.001039,155.948059,0.021394,156.179977,156.12,0.06,12636
test_n5000_m100000_f0_no1.utv,5000,100000,0.211184,0.001303,202.488785,0.022380,202.723999,202.65,0.07,13172
test_n5000_m100000_f0_no2.utv,5000,100000,0.210638,0.001335,187.967331,0.021213,188.200912,188.12,0.08,13172
test_n5000_m100000_f0_no3.utv,5000,100000,0.221547,0.001330,190.971313,0.021221,191.215729,191.14,0.07,13108
test_n6000_m100000_f0_no1.utv,6000,100000,0.214714,0.001594,235.367905,0.021905,235.606613,235.56,0.04,13628
test_n6000_m100000_f0_no2.utv,6000,100000,0.215422,0.001610,237.528641,0.022038,237.768082,237.70,0.07,13672
test_n6000_m100000_f0_no3.utv,6000,100000,0.214814,0.001647,237.084900,0.021760,237.323578,237.26,0.06,13588
test_n7000_m100000_f0_no1.utv,7000,100000,0.218020,0.001988,280.627411,0.022429,280.870239,280.80,0.06,14108
test_n7000_m100000_f0_no2.utv,7000,100000,0.217700,0.001905,279.031250,0.022547,279.273865,279.21,0.06,14080
test_n7000_m100000_f0_no3.utv,7000,100000,0.217794,0.001907,291.659515,0.022313,291.901825,291.84,0.05,14096
test_n8000_m100000_f0_no1.utv,8000,100000,0.221879,0.002169,334.358521,0.022726,334.605774,334.54,0.06,14604
test_n8000_m100000_f0_no2.utv,8000,100000,0.221006,0.002251,324.886169,0.022627,325.132507,325.08,0.05,14676
test_n8000_m100000_f0_no3.utv,8000,100000,0.222581,0.002191,335.071960,0.023838,335.321045,335.22,0.10,14608
