input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f2_no1.utv,1000,10000,0.024377,0.000170,0.862064,0.001584,0.888976,0.87,0.01,2804
input/test_n1000_m10000_f2_no2.utv,1000,10000,0.022613,0.000162,0.874236,0.001693,0.899464,0.89,0.00,2840
input/test_n1000_m10000_f2_no3.utv,1000,10000,0.022650,0.000161,0.861954,0.001626,0.887181,0.86,0.02,2828
input/test_n1000_m20000_f2_no1.utv,1000,20000,0.042226,0.000189,1.792789,0.003466,1.839497,1.82,0.02,3716
input/test_n1000_m20000_f2_no2.utv,1000,20000,0.041624,0.000217,1.792058,0.003474,1.838235,1.83,0.00,3744
input/test_n1000_m20000_f2_no3.utv,1000,20000,0.041839,0.000192,1.795277,0.003561,1.841735,1.83,0.00,3692
input/test_n1000_m30000_f2_no1.utv,1000,30000,0.062133,0.000251,2.662256,0.005145,2.730616,2.70,0.02,4720
input/test_n1000_m30000_f2_no2.utv,1000,30000,0.061039,0.000212,2.470595,0.005121,2.537830,2.50,0.03,4648
input/test_n1000_m30000_f2_no3.utv,1000,30000,0.061024,0.000212,2.461013,0.005191,2.528288,2.51,0.02,4712
input/test_n1000_m40000_f2_no1.utv,1000,40000,0.082830,0.000245,3.881335,0.011137,3.976597,3.93,0.04,5620
input/test_n1000_m40000_f2_no2.utv,1000,40000,0.083191,0.000280,4.086637,0.008156,4.179216,4.14,0.03,5592
input/test_n1000_m40000_f2_no3.utv,1000,40000,0.082131,0.000311,3.545889,0.007601,3.636849,3.60,0.03,5588
input/test_n1000_m50000_f2_no1.utv,1000,50000,0.100778,0.000274,5.035904,0.010781,5.148757,5.11,0.03,6584
input/test_n1000_m50000_f2_no2.utv,1000,50000,0.102685,0.000278,4.880090,0.010526,4.994638,4.95,0.04,6568
input/test_n1000_m50000_f2_no3.utv,1000,50000,0.106087,0.000277,5.090979,0.012141,5.210538,5.19,0.02,6580
input/test_n1000_m60000_f2_no1.utv,1000,60000,0.123326,0.000336,10.341448,0.017531,10.483679,10.46,0.02,7496
input/test_n1000_m60000_f2_no2.utv,1000,60000,0.122674,0.000338,10.335822,0.017642,10.477477,10.44,0.03,7524
input/test_n1000_m60000_f2_no3.utv,1000,60000,0.122337,0.000339,10.125877,0.017560,10.267232,10.22,0.05,7544
input/test_n1000_m70000_f2_no1.utv,1000,70000,0.143271,0.000351,16.558750,0.025607,16.729057,16.67,0.06,8396
input/test_n1000_m70000_f2_no2.utv,1000,70000,0.142374,0.000380,16.864559,0.025736,17.034063,17.00,0.02,8424
input/test_n1000_m70000_f2_no3.utv,1000,70000,0.143873,0.000353,17.331736,0.027840,17.504915,17.45,0.05,8412
input/test_n1000_m80000_f2_no1.utv,1000,80000,0.162853,0.000362,26.049700,0.036894,26.250868,26.15,0.10,9376
input/test_n1000_m80000_f2_no2.utv,1000,80000,0.164400,0.000367,25.611736,0.036881,25.814444,25.72,0.09,9372
input/test_n1000_m80000_f2_no3.utv,1000,80000,0.162080,0.000352,25.891125,0.036683,26.091246,25.94,0.15,9372
input/test_n1000_m90000_f2_no1.utv,1000,90000,0.204032,0.000371,35.276417,0.049926,35.531914,35.46,0.06,10308
input/test_n1000_m90000_f2_no2.utv,1000,90000,0.192882,0.000356,35.569241,0.049932,35.813511,35.74,0.06,10304
input/test_n1000_m90000_f2_no3.utv,1000,90000,0.187192,0.000352,35.605198,0.050595,35.844486,35.77,0.07,10284
input/test_n1000_m100000_f2_no1.utv,1000,100000,0.202379,0.000356,44.720383,0.065663,44.990379,44.91,0.08,11264
input/test_n1000_m100000_f2_no2.utv,1000,100000,0.203053,0.000374,45.120476,0.063153,45.388626,45.34,0.05,11236
input/test_n1000_m100000_f2_no3.utv,1000,100000,0.203794,0.000359,45.172329,0.064238,45.442184,45.36,0.08,11240
input/test_n1000_m110000_f2_no1.utv,1000,110000,0.232385,0.000366,54.202511,0.078215,54.514576,54.42,0.09,12136
input/test_n1000_m110000_f2_no2.utv,1000,110000,0.230450,0.000360,54.006729,0.077430,54.315990,54.23,0.08,12184
input/test_n1000_m110000_f2_no3.utv,1000,110000,0.231261,0.000363,54.180840,0.077241,54.490829,54.41,0.07,12164
input/test_n1000_m120000_f2_no1.utv,1000,120000,0.253365,0.000378,63.884914,0.089799,64.229599,64.16,0.06,13176
input/test_n1000_m120000_f2_no2.utv,1000,120000,0.249229,0.000366,64.162781,0.093424,64.506844,64.36,0.14,13148
