input file,nodes,edges,parse,finalization,relaxation,cleanup,total,user,system,maximum resident set size (kb)
test_n1000_m100000_f2_no1.utv,1000,100000,0.198034,0.000274,33.361576,0.046545,33.607769,33.52,0.08,11240
test_n1000_m100000_f2_no2.utv,1000,100000,0.200810,0.000262,33.305431,0.046831,33.554649,33.50,0.05,11216
test_n1000_m100000_f2_no3.utv,1000,100000,0.196975,0.000261,33.355568,0.046869,33.600971,33.56,0.04,11192
test_n2000_m100000_f2_no1.utv,2000,100000,0.201727,0.000516,65.098251,0.040636,65.342659,65.27,0.06,11660
test_n2000_m100000_f2_no2.utv,2000,100000,0.200624,0.000517,68.299622,0.046554,68.548874,68.48,0.06,11720
test_n2000_m100000_f2_no3.utv,2000,100000,0.203684,0.000519,68.397339,0.046605,68.649742,68.58,0.07,11728
test_n3000_m100000_f2_no1.utv,3000,100000,0.204053,0.000775,101.390076,0.040476,101.637535,101.57,0.06,12196
test_n3000_m100000_f2_no2.utv,3000,100000,0.204672,0.000771,105.617043,0.047609,105.872192,105.81,0.06,12188
test_n3000_m100000_f2_no3.utv,3000,100000,0.206497,0.000774,102.869873,0.040614,103.119888,103.06,0.06,12228
test_n4000_m100000_f2_no1.utv,4000,100000,0.208552,0.001070,144.602310,0.021733,144.836395,144.74,0.09,12644
test_n4000_m100000_f2_no2.utv,4000,100000,0.210199,0.001037,138.620865,0.020726,138.855576,138.78,0.08,12660
test_n4000_m100000_f2_no3.utv,4000,100000,0.209952,0.001034,143.418396,0.021008,143.653351,143.61,0.04,12660
test_n5000_m100000_f2_no1.utv,5000,100000,0.211487,0.001350,186.362915,0.022087,186.601120,186.52,0.08,13132
test_n5000_m100000_f2_no2.utv,5000,100000,0.213268,0.001342,178.261841,0.021695,178.501556,178.41,0.08,13204
test_n5000_m100000_f2_no3.utv,5000,100000,0.214159,0.001312,179.171021,0.021357,179.411148,179.35,0.05,13200
test_n6000_m100000_f2_no1.utv,6000,100000,0.214419,0.001628,224.050034,0.022385,224.292374,224.24,0.05,13692
test_n6000_m100000_f2_no2.utv,6000,100000,0.215240,0.001654,223.752899,0.022313,223.996002,223.93,0.06,13652
test_n6000_m100000_f2_no3.utv,6000,100000,0.238317,0.001569,224.569733,0.022023,224.835464,224.75,0.08,13620
test_n7000_m100000_f2_no1.utv,7000,100000,0.217278,0.001892,267.737885,0.021862,267.979309,267.92,0.05,14112
test_n7000_m100000_f2_no2.utv,7000,100000,0.216671,0.001860,263.616333,0.022148,263.861420,263.78,0.08,14192
test_n7000_m100000_f2_no3.utv,7000,100000,0.217376,0.001836,264.075409,0.022273,264.321381,264.29,0.03,14116
test_n8000_m100000_f2_no1.utv,8000,100000,0.221136,0.002191,303.193176,0.022507,303.444000,303.36,0.08,14600
test_n8000_m100000_f2_no2.utv,8000,100000,0.221502,0.002152,314.156952,0.022693,314.408386,314.33,0.08,14628
test_n8000_m100000_f2_no3.utv,8000,100000,0.220512,0.002230,311.234070,0.022958,311.484741,311.41,0.07,14632
test_n9000_m100000_f2_no1.utv,9000,100000,0.223220,0.002601,350.762939,0.022934,351.017242,350.94,0.08,15036
test_n9000_m100000_f2_no2.utv,9000,100000,0.222853,0.002549,359.947754,0.023043,360.201721,360.13,0.07,15112
