input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,algorithm,user,system,maximum resident set size (kB)
input/test_n1000_m10000_f2_no1.utv,1000,10000,2,0,17,0,0.023288362,0.007749106,1.838409765,0.001059839,1.847218710,1.85,0.00,2220
input/test_n1000_m10000_f2_no2.utv,1000,10000,2,0,13,0,0.018477132,0.006134235,1.836708372,0.001147320,1.843989927,1.84,0.00,2196
input/test_n1000_m10000_f2_no3.utv,1000,10000,2,0,12,0,0.018793617,0.006022676,1.846214206,0.001155375,1.853392257,1.85,0.00,2204
input/test_n1000_m20000_f2_no1.utv,1000,20000,2,0,13,0,0.032760571,0.012520264,2.636405132,0.002123987,2.651049383,2.57,0.07,3968
input/test_n1000_m20000_f2_no2.utv,1000,20000,2,0,10,0,0.024799118,0.010678050,2.494145244,0.002106788,2.506930082,2.51,0.00,3960
input/test_n1000_m20000_f2_no3.utv,1000,20000,2,0,9,0,0.024013257,0.010253225,2.530063873,0.002154899,2.542471997,2.54,0.00,3968
input/test_n1000_m30000_f2_no1.utv,1000,30000,2,0,8,0,0.026611133,0.015151648,3.437993665,0.003686057,3.456831370,3.45,0.01,5752
input/test_n1000_m30000_f2_no2.utv,1000,30000,2,0,8,0,0.029468016,0.015260251,3.435822900,0.003465845,3.454548996,3.46,0.00,5756
input/test_n1000_m30000_f2_no3.utv,1000,30000,2,0,12,0,0.030843821,0.020323998,3.368477940,0.003344306,3.392146244,3.39,0.00,5752
input/test_n1000_m40000_f2_no1.utv,1000,40000,2,0,8,0,0.040530129,0.019220873,4.053311567,0.005137563,4.077670003,4.08,0.00,7536
input/test_n1000_m40000_f2_no2.utv,1000,40000,2,0,13,0,0.035557728,0.027316565,4.137902503,0.005251453,4.170470521,4.18,0.00,7532
input/test_n1000_m40000_f2_no3.utv,1000,40000,2,0,7,0,0.029812960,0.017679124,4.076856990,0.004658272,4.099194386,4.10,0.00,7536
input/test_n1000_m50000_f2_no1.utv,1000,50000,2,0,7,0,0.041941523,0.023769801,5.248870024,0.007010525,5.279650350,5.29,0.00,9228
input/test_n1000_m50000_f2_no2.utv,1000,50000,2,0,6,0,0.041098103,0.022465749,5.245576119,0.006710068,5.274751936,5.29,0.00,9220
input/test_n1000_m50000_f2_no3.utv,1000,50000,2,0,6,0,0.038323352,0.022395513,5.228355199,0.006616490,5.257367202,5.27,0.00,9228
input/test_n1000_m60000_f2_no1.utv,1000,60000,2,0,7,0,0.213348726,0.028558952,6.185146332,0.008496235,6.222201519,6.23,0.00,10780
input/test_n1000_m60000_f2_no2.utv,1000,60000,2,0,7,0,0.039213923,0.029975266,6.124705651,0.008698421,6.163379338,6.18,0.00,10784
input/test_n1000_m60000_f2_no3.utv,1000,60000,2,0,5,0,0.042381710,0.024271188,6.209146048,0.008424312,6.241841548,6.26,0.00,10788
input/test_n1000_m70000_f2_no1.utv,1000,70000,2,0,6,0,0.043869746,0.032795403,7.173155232,0.010294825,7.216245460,7.24,0.00,12352
input/test_n1000_m70000_f2_no2.utv,1000,70000,2,0,6,0,0.055492253,0.031724048,7.037956029,0.010572992,7.080253069,7.07,0.00,12348
input/test_n1000_m70000_f2_no3.utv,1000,70000,2,0,5,0,0.043558581,0.027989436,7.048187441,0.010261610,7.086438487,7.10,0.00,12344
input/test_n1000_m80000_f2_no1.utv,1000,80000,2,0,5,0,0.061188028,0.034756996,7.895512182,0.011483580,7.941752758,7.96,0.01,13912
input/test_n1000_m80000_f2_no2.utv,1000,80000,2,0,6,0,0.122783498,0.036998970,7.689386549,0.011311347,7.737696866,7.75,0.00,13916
input/test_n1000_m80000_f2_no3.utv,1000,80000,2,0,6,0,0.180609456,0.036168331,7.778359792,0.012030177,7.826558300,7.84,0.01,13912
input/test_n1000_m90000_f2_no1.utv,1000,90000,2,0,5,0,0.063680063,0.039783832,9.144888345,0.014083438,9.198755615,9.21,0.01,15472
input/test_n1000_m90000_f2_no2.utv,1000,90000,2,0,5,0,0.059156068,0.040593255,9.168582418,0.013901633,9.223077306,9.24,0.02,15468
input/test_n1000_m90000_f2_no3.utv,1000,90000,2,0,8,0,0.054921105,0.051486866,9.196523424,0.013470577,9.261480867,9.27,0.01,15476
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0,9,0,0.254290298,0.058649672,10.033274003,0.014599664,10.106523339,10.13,0.01,17032
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0,7,0,0.292154393,0.048069400,10.169669373,0.017451273,10.235190046,10.27,0.00,17036
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0,6,0,0.057960704,0.050997467,10.393162394,0.015862381,10.460022242,10.35,0.15,17036
input/test_n1000_m110000_f2_no1.utv,1000,110000,2,0,5,0,0.181818275,0.050571726,11.377023212,0.017630327,11.445225265,11.29,0.19,18600
input/test_n1000_m110000_f2_no2.utv,1000,110000,2,0,6,0,0.061296624,0.054608737,11.179876176,0.017789420,11.252274333,11.27,0.01,18600
input/test_n1000_m110000_f2_no3.utv,1000,110000,2,0,5,0,0.063968028,0.052162581,11.455219007,0.017777313,11.525158901,11.55,0.01,18604
input/test_n1000_m120000_f2_no1.utv,1000,120000,2,0,6,0,0.065481052,0.062702568,12.357004753,0.019700374,12.439407695,12.46,0.02,20156
input/test_n1000_m120000_f2_no2.utv,1000,120000,2,0,5,0,0.072232612,0.054984069,12.147938728,0.019740564,12.222663361,12.25,0.01,20160
input/test_n1000_m120000_f2_no3.utv,1000,120000,2,0,8,0,0.065026013,0.072453309,12.051497378,0.019473776,12.143424463,12.17,0.01,20160
input/test_n1000_m130000_f2_no1.utv,1000,130000,2,0,6,0,0.072330848,0.068829242,13.460298728,0.021528475,13.550656445,13.58,0.01,21728
input/test_n1000_m130000_f2_no2.utv,1000,130000,2,0,5,0,0.073866490,0.065133406,14.030389712,0.024830305,14.120353423,13.93,0.24,21728
input/test_n1000_m130000_f2_no3.utv,1000,130000,2,0,5,0,0.074048239,0.063270322,13.811452318,0.022058009,13.896780649,13.94,0.00,21724
input/test_n1000_m140000_f2_no1.utv,1000,140000,2,0,5,0,0.072282182,0.071730415,15.410788572,0.025114480,15.507633467,15.52,0.03,23284
input/test_n1000_m140000_f2_no2.utv,1000,140000,2,0,6,0,0.070674223,0.094074167,18.945989227,0.026047106,19.066110500,19.08,0.00,23288
input/test_n1000_m140000_f2_no3.utv,1000,140000,2,0,4,0,0.190815492,0.064327611,16.992812043,0.027486446,17.084626100,17.12,0.01,23288
input/test_n1000_m150000_f2_no1.utv,1000,150000,2,0,6,0,0.079359114,0.091800471,17.750303085,0.028704048,17.870807604,17.64,0.28,24844
input/test_n1000_m150000_f2_no2.utv,1000,150000,2,0,6,0,0.089210623,0.087538391,16.837843857,0.024393958,16.949776206,16.77,0.24,24844
input/test_n1000_m150000_f2_no3.utv,1000,150000,2,0,4,0,0.275758832,0.093014726,23.517355095,0.031932708,23.642302529,23.68,0.01,24844
input/test_n1000_m160000_f2_no1.utv,1000,160000,2,0,8,0,0.078017367,0.143492142,25.225555433,0.038296746,25.407344321,25.44,0.02,26412
input/test_n1000_m160000_f2_no2.utv,1000,160000,2,0,5,0,0.085368984,0.097820412,19.003465968,0.030398278,19.131684658,19.00,0.17,26412
input/test_n1000_m160000_f2_no3.utv,1000,160000,2,0,5,0,0.079604175,0.087601627,18.510959516,0.029199932,18.627761075,18.65,0.03,26412
input/test_n1000_m170000_f2_no1.utv,1000,170000,2,0,4,0,0.134512138,0.089014025,20.643345445,0.032536444,20.764895914,20.81,0.01,27972
input/test_n1000_m170000_f2_no2.utv,1000,170000,2,0,5,0,0.093845441,0.098082563,21.025669444,0.029520360,21.153272367,21.16,0.04,27972
input/test_n1000_m170000_f2_no3.utv,1000,170000,2,0,5,0,0.081993714,0.095413764,20.049979369,0.031913937,20.177307070,20.18,0.06,27976
input/test_n1000_m180000_f2_no1.utv,1000,180000,2,0,12,0,0.089397125,0.179047593,23.646599569,0.041058621,23.866705783,23.87,0.06,29536
input/test_n1000_m180000_f2_no2.utv,1000,180000,2,0,5,0,0.087002749,0.135301004,31.448982321,0.047260187,31.631543512,31.67,0.01,29536
input/test_n1000_m180000_f2_no3.utv,1000,180000,2,0,5,0,0.086213233,0.135736082,31.741903079,0.045386974,31.923026135,31.97,0.02,29532
input/test_n1000_m190000_f2_no1.utv,1000,190000,2,0,3,0,0.092515697,0.113869203,33.545792903,0.048991598,33.708653704,33.74,0.01,31100
input/test_n1000_m190000_f2_no2.utv,1000,190000,2,0,4,0,0.094842114,0.135129223,27.101601923,0.044939952,27.281671098,26.82,0.54,31100
input/test_n1000_m190000_f2_no3.utv,1000,190000,2,0,6,0,0.188819685,0.152250471,27.057340927,0.038898526,27.248489924,27.26,0.05,31104
input/test_n1000_m200000_f2_no1.utv,1000,200000,2,0,5,0,0.096078994,0.126738852,31.115314333,0.069481787,31.311534972,31.37,0.01,32664
input/test_n1000_m200000_f2_no2.utv,1000,200000,2,0,6,0,0.126450898,0.166132087,34.759275741,0.051066153,34.976473981,35.05,0.01,32660
input/test_n1000_m200000_f2_no3.utv,1000,200000,2,0,5,0,0.089253738,0.149838973,35.066313883,0.050424692,35.266577548,35.29,0.01,32660
