input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,algorithm,user,system,maximum resident set size (kB)
input/test_n12000_m100000_f0_no3.utv,12000,100000,0,0,2,54,0.053838778,0.026805133,0.000038140,0.005860538,0.032703811,0.06,0.00,18248
input/test_n13000_m100000_f0_no1.utv,13000,100000,0,0,1,8,0.058019606,0.023927952,0.000025520,0.006045987,0.029999459,0.05,0.00,18356
input/test_n13000_m100000_f0_no2.utv,13000,100000,0,0,1,4,0.079405685,0.022679233,0.000038836,0.006124108,0.028842177,0.05,0.00,18356
input/test_n13000_m100000_f0_no3.utv,13000,100000,0,0,1,3,0.060069206,0.023945377,0.000021506,0.004994360,0.028961243,0.05,0.00,18352
input/test_n14000_m100000_f0_no1.utv,14000,100000,0,0,1,3,0.056131611,0.021175314,0.000021419,0.005156975,0.026353708,0.06,0.00,18464
input/test_n14000_m100000_f0_no2.utv,14000,100000,0,0,1,3,0.136542248,0.024761072,0.000022084,0.006157876,0.030941032,0.06,0.01,18464
input/test_n14000_m100000_f0_no3.utv,14000,100000,0,0,1,5,0.064494532,0.021310763,0.000024948,0.007334382,0.028670093,0.05,0.01,18464
input/test_n15000_m100000_f0_no1.utv,15000,100000,0,0,3,63,0.057800448,0.037937418,0.000045476,0.005208120,0.043191014,0.07,0.01,18576
input/test_n15000_m100000_f0_no2.utv,15000,100000,0,0,3,59,0.061677541,0.032085947,0.000035974,0.005142057,0.037263978,0.06,0.00,18580
input/test_n15000_m100000_f0_no3.utv,15000,100000,0,0,1,3,0.062445813,0.028462209,0.000039429,0.007182847,0.035684485,0.06,0.00,18572
input/test_n16000_m100000_f0_no1.utv,16000,100000,0,0,1,5,0.056530068,0.025865078,0.000026276,0.007324895,0.033216249,0.06,0.00,18680
input/test_n16000_m100000_f0_no2.utv,16000,100000,0,0,1,7,0.061782542,0.030417116,0.000030708,0.008095704,0.038543528,0.06,0.01,18684
input/test_n16000_m100000_f0_no3.utv,16000,100000,0,0,2,9,0.060304918,0.032422122,0.000026932,0.005975330,0.038424384,0.06,0.01,18676
input/test_n17000_m100000_f0_no1.utv,17000,100000,0,0,1,6,0.066136863,0.025957085,0.000026118,0.005944264,0.031927467,0.06,0.01,18792
input/test_n17000_m100000_f0_no2.utv,17000,100000,0,0,2,43,0.062806589,0.027453934,0.000034713,0.005158376,0.032647023,0.06,0.00,18792
input/test_n17000_m100000_f0_no3.utv,17000,100000,0,0,1,3,0.061070872,0.021311101,0.000022372,0.005302228,0.026635701,0.05,0.00,18788
input/test_n18000_m100000_f0_no1.utv,18000,100000,0,1,2,5,0.064175419,0.026048480,0.000020763,0.005512203,0.031581446,0.06,0.00,18904
input/test_n18000_m100000_f0_no2.utv,18000,100000,0,0,1,3,0.058118016,0.022459593,0.000027567,0.006211107,0.028698267,0.05,0.00,18904
input/test_n18000_m100000_f0_no3.utv,18000,100000,0,0,2,70,0.060852318,0.028000340,0.000042137,0.005536415,0.033578892,0.06,0.00,18908
input/test_n19000_m100000_f0_no1.utv,19000,100000,0,1,4,16,0.058264578,0.037078251,0.000025955,0.005911123,0.043015329,0.07,0.00,19008
input/test_n19000_m100000_f0_no2.utv,19000,100000,0,0,1,4,0.062906138,0.021475557,0.000022938,0.005456200,0.026954695,0.05,0.00,19004
input/test_n19000_m100000_f0_no3.utv,19000,100000,0,0,2,4,0.064685318,0.026341561,0.000024797,0.005107117,0.031473475,0.06,0.00,19008
input/test_n20000_m100000_f0_no1.utv,20000,100000,0,0,4,14,0.060631985,0.035520065,0.000023965,0.005299949,0.040843979,0.06,0.01,19120
input/test_n20000_m100000_f0_no2.utv,20000,100000,0,0,1,3,0.062782117,0.023488083,0.000022067,0.005338031,0.028848181,0.05,0.00,19120
input/test_n20000_m100000_f0_no3.utv,20000,100000,0,0,3,7,0.052594349,0.030619363,0.000022579,0.005450075,0.036092017,0.06,0.00,19124
