input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0.278254,21.312678,0.091073,0.033752,21.715757,21.66,0.06,17480
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0.288513,24.340301,0.091117,0.035743,24.755674,24.68,0.08,17332
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0.295460,24.891361,0.057479,0.000289,25.244589,25.16,0.08,17068
input/test_n2000_m100000_f1_no1.utv,2000,100000,2,0.294538,49.922600,0.069218,0.000477,50.286833,50.16,0.12,17160
input/test_n2000_m100000_f1_no2.utv,2000,100000,
