input file,variables,constraints,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f0_no1.utv,1000,10000,0.022683,0.747452,,0.001675,0.771810,0.76,0.01,2392
input/test_n1000_m10000_f0_no2.utv,1000,10000,0.021233,0.754992,,0.001917,0.778142,0.77,0.00,2436
input/test_n1000_m10000_f0_no3.utv,1000,10000,0.022410,0.741011,,0.001799,0.765220,0.76,0.00,2360
input/test_n1000_m20000_f0_no1.utv,1000,20000,0.041477,1.756579,,0.003794,1.801850,1.77,0.02,3288
input/test_n1000_m20000_f0_no2.utv,1000,20000,0.043333,1.791063,,0.005037,1.839433,1.84,0.00,3336
input/test_n1000_m20000_f0_no3.utv,1000,20000,0.043267,1.766493,,0.005288,1.815048,1.79,0.02,3312
input/test_n1000_m30000_f0_no1.utv,1000,30000,0.065322,2.929690,,0.006336,3.001348,2.98,0.01,4252
input/test_n1000_m30000_f0_no2.utv,1000,30000,0.066396,2.994739,,0.006121,3.067256,3.05,0.02,4328
input/test_n1000_m30000_f0_no3.utv,1000,30000,0.066749,2.894765,,0.008455,2.969969,2.94,0.03,4304
input/test_n1000_m40000_f0_no1.utv,1000,40000,0.095113,4.923829,,0.008078,5.027020,4.98,0.05,5176
input/test_n1000_m40000_f0_no2.utv,1000,40000,0.085319,4.479779,,0.010843,4.575941,4.54,0.03,5172
input/test_n1000_m40000_f0_no3.utv,1000,40000,0.088853,4.623683,,0.012483,4.725019,4.70,0.02,5200
input/test_n1000_m50000_f0_no1.utv,1000,50000,0.112620,8.041757,,0.021519,8.175896,8.11,0.06,6136
input/test_n1000_m50000_f0_no2.utv,1000,50000,0.112588,8.143862,,0.016176,8.272626,8.24,0.03,6112
input/test_n1000_m50000_f0_no3.utv,1000,50000,0.109345,8.465435,,0.017191,8.591971,8.54,0.04,6148
input/test_n1000_m60000_f0_no1.utv,1000,60000,0.124566,14.205022,,0.031271,14.360859,14.34,0.02,7076
input/test_n1000_m60000_f0_no2.utv,1000,60000,0.131268,14.706417,,0.028531,14.866216,14.83,0.03,7072
input/test_n1000_m60000_f0_no3.utv,1000,60000,0.129824,15.282626,,0.028677,15.441127,15.42,0.02,7072
input/test_n1000_m70000_f0_no1.utv,1000,70000,0.148963,24.312429,,0.041962,24.503354,24.46,0.04,8028
input/test_n1000_m70000_f0_no2.utv,1000,70000,0.155204,23.824802,,0.043476,24.023482,23.97,0.05,8000
input/test_n1000_m70000_f0_no3.utv,1000,70000,0.153342,23.748447,,0.044906,23.946695,23.84,0.10,8024
input/test_n1000_m80000_f0_no1.utv,1000,80000,0.171567,35.086519,,0.057828,35.315914,35.26,0.05,8940
input/test_n1000_m80000_f0_no2.utv,1000,80000,0.171524,35.010350,,0.060757,35.242631,35.18,0.06,8920
input/test_n1000_m80000_f0_no3.utv,1000,80000,0.173188,34.992468,,0.059549,35.225205,35.14,0.08,8960
input/test_n1000_m90000_f0_no1.utv,1000,90000,0.195738,45.891351,,0.077984,46.165073,46.09,0.07,9956
input/test_n1000_m90000_f0_no2.utv,1000,90000,0.196257,46.080619,,0.076693,46.353569,46.27,0.08,9932
input/test_n1000_m90000_f0_no3.utv,1000,90000,0.202374,45.821281,,0.074527,46.098182,46.03,0.07,9852
input/test_n1000_m100000_f0_no1.utv,1000,100000,0.213812,55.787310,,0.095771,56.096893,56.02,0.08,10828
input/test_n1000_m100000_f0_no2.utv,1000,100000,0.218641,56.127720,,0.097997,56.444358,56.29,0.15,10892
input/test_n1000_m100000_f0_no3.utv,1000,100000,0.213574,56.706887,,0.094323,57.014784,56.90,0.12,10804
input/test_n1000_m110000_f0_no1.utv,1000,110000,0.245904,65.480845,,0.109229,65.835978,65.74,0.09,11736
input/test_n1000_m110000_f0_no2.utv,1000,110000,0.249841,66.368315,,0.113242,66.731398,66.64,0.08,11760
input/test_n1000_m110000_f0_no3.utv,1000,110000,0.244475,66.151308,,0.109402,66.505185,66.40,0.10,11748
input/test_n1000_m120000_f0_no1.utv,1000,120000,0.261361,75.910734,,0.129470,76.301565,76.17,0.13,12692
input/test_n1000_m120000_f0_no2.utv,1000,120000,0.261571,76.645456,,0.113746,77.020773,76.91,0.11,12716
input/test_n1000_m120000_f0_no3.utv,1000,120000,0.285942,75.030724,,0.122863,75.439529,75.33,0.10,12676
input/test_n1000_m130000_f0_no1.utv,1000,130000,0.289575,81.332992,,0.135159,81.757726,81.62,0.13,13652
input/test_n1000_m130000_f0_no2.utv,1000,130000,0.296608,79.693066,,0.140324,80.129998,79.99,0.14,13644
input/test_n1000_m130000_f0_no3.utv,1000,130000,0.284302,79.189286,,0.141282,79.614870,79.54,0.08,13620
input/test_n1000_m140000_f0_no1.utv,1000,140000,0.321926,89.184666,,0.155907,89.662499,89.54,0.12,14596
input/test_n1000_m140000_f0_no2.utv,1000,140000,0.310902,89.271873,,0.145093,89.727868,89.66,0.07,14620
input/test_n1000_m140000_f0_no3.utv,1000,140000,0.328336,89.076198,,0.147137,89.551671,89.43,0.12,14644
input/test_n1000_m150000_f0_no1.utv,1000,150000,0.313292,99.177066,,0.175862,99.666220,99.46,0.20,15508
input/test_n1000_m150000_f0_no2.utv,1000,150000,0.385367,99.813998,,0.173444,100.372809,100.17,0.20,15476
input/test_n1000_m150000_f0_no3.utv,1000,150000,0.334859,99.303667,,0.163023,99.801549,99.66,0.14,15532
input/test_n1000_m160000_f0_no1.utv,1000,160000,0.343239,109.204054,,0.187943,109.735236,109.61,0.12,16440
input/test_n1000_m160000_f0_no2.utv,1000,160000,0.353117,108.970924,,0.190502,109.514543,109.41,0.10,16504
input/test_n1000_m160000_f0_no3.utv,1000,160000,0.364434,108.667236,,0.180953,109.212623,109.07,0.14,16460
input/test_n1000_m170000_f0_no1.utv,1000,170000,0.373644,118.648074,,0.202540,119.224258,119.08,0.14,17436
input/test_n1000_m170000_f0_no2.utv,1000,170000,0.373856,118.595992,,0.202723,119.172571,119.00,0.17,17360
input/test_n1000_m170000_f0_no3.utv,1000,170000,0.386838,118.984614,,0.201344,119.572796,119.44,0.13,17404
input/test_n1000_m180000_f0_no1.utv,1000,180000,0.398063,129.076051,,0.219300,129.693414,129.50,0.19,18312
input/test_n1000_m180000_f0_no2.utv,1000,180000,0.376997,128.718877,,0.229598,129.325472,129.20,0.12,18356
input/test_n1000_m180000_f0_no3.utv,1000,180000,0.368519,128.883868,,0.226765,129.479152,129.35,0.12,18316
input/test_n1000_m190000_f0_no1.utv,1000,190000,0.408723,138.479924,,0.242045,139.130692,139.00,0.13,19252
input/test_n1000_m190000_f0_no2.utv,1000,190000,0.395939,138.411497,,0.235837,139.043273,138.91,0.13,19248
input/test_n1000_m190000_f0_no3.utv,1000,190000,0.399601,138.268345,,0.248257,138.916203,138.78,0.14,19232
input/test_n1000_m200000_f0_no1.utv,1000,200000,0.430936,148.057081,,0.262726,148.750743,148.61,0.14,20200
input/test_n1000_m200000_f0_no2.utv,1000,200000,0.453577,148.264344,,0.263712,148.981633,148.81,0.16,20188
input/test_n1000_m200000_f0_no3.utv,1000,200000,0.419286,145.575247,,0.254327,146.248860,145.98,0.27,20200
