input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f1_no1.utv,1000,10000,2,0,13,0,0.029289271,0.005593777,2.214948067,0.001944460,2.251775575,2.19,0.04,95812
input/test_n1000_m10000_f1_no2.utv,1000,10000,2,0,13,0,0.031379095,0.004869069,2.277356637,0.001751110,2.315355911,2.24,0.05,95564
input/test_n1000_m10000_f1_no3.utv,1000,10000,2,0,16,0,0.031376212,0.006195055,2.294949143,0.001711908,2.334232318,2.24,0.07,95808
input/test_n1000_m20000_f1_no1.utv,1000,20000,1,0,13,0,0.042457308,0.010606501,0.003770386,0.001959864,0.058794059,0.02,0.01,4012
input/test_n1000_m20000_f1_no2.utv,1000,20000,1,0,11,0,0.039334460,0.009458812,0.003724875,0.001972461,0.054490608,0.02,0.01,3996
input/test_n1000_m20000_f1_no3.utv,1000,20000,2,0,12,0,0.039675344,0.010761136,4.158019983,0.004482784,4.212939247,4.12,0.07,96772
input/test_n1000_m30000_f1_no1.utv,1000,30000,2,0,14,0,0.057161869,0.058406938,4.985435846,0.006132064,5.107136717,5.03,0.05,97712
input/test_n1000_m30000_f1_no2.utv,1000,30000,1,0,7,0,0.057792400,0.012408304,0.006063779,0.005545520,0.081810003,0.03,0.01,5520
input/test_n1000_m30000_f1_no3.utv,1000,30000,1,0,7,0,0.086130924,0.035481871,0.006319717,0.016216253,0.144148765,0.04,0.01,5552
input/test_n1000_m40000_f1_no1.utv,1000,40000,1,0,8,0,0.092684207,0.018974199,0.008918418,0.009004214,0.129581038,0.05,0.02,7028
input/test_n1000_m40000_f1_no2.utv,1000,40000,1,0,5,0,0.083143425,0.037240596,0.012915262,0.013657149,0.146956432,0.09,0.01,7036
input/test_n1000_m40000_f1_no3.utv,1000,40000,1,0,8,0,0.101950551,0.065925188,0.013979684,0.020809562,0.202664985,0.11,0.01,7032
input/test_n1000_m50000_f1_no1.utv,1000,50000,2,0,7,0,0.083710684,0.044560661,10.224659385,0.009566575,10.362497305,9.40,0.09,99596
input/test_n1000_m50000_f1_no2.utv,1000,50000,1,0,6,0,0.133735778,0.049570812,0.013509978,0.019605652,0.216422220,0.06,0.03,8468
input/test_n1000_m50000_f1_no3.utv,1000,50000,1,0,7,0,0.121280962,0.040854498,0.036692569,0.028402326,0.227230355,0.08,0.02,8476
input/test_n1000_m60000_f1_no1.utv,1000,60000,1,0,6,0,0.128645866,0.101654217,0.039510377,0.067360681,0.337171141,0.20,0.02,10052
input/test_n1000_m60000_f1_no2.utv,1000,60000,2,0,8,0,0.166096643,0.111236926,17.686748781,0.023060170,17.987142520,17.02,0.09,100532
input/test_n1000_m60000_f1_no3.utv,1000,60000,2,0,8,0,0.103131627,0.090906457,11.658452291,0.022099610,11.874589985,11.76,0.07,100528
input/test_n1000_m70000_f1_no1.utv,1000,70000,2,0,6,0,0.115822284,0.096309891,23.433789854,0.026765991,23.672688020,22.23,0.10,101472
input/test_n1000_m70000_f1_no2.utv,1000,70000,1,0,5,0,0.133054439,0.036056425,0.012793723,0.014612828,0.196517415,0.09,0.03,11464
input/test_n1000_m70000_f1_no3.utv,1000,70000,1,0,9,0,0.137659144,0.036912193,0.012432591,0.012845860,0.199849788,0.10,0.03,11540
input/test_n1000_m80000_f1_no1.utv,1000,80000,1,0,6,0,0.156921332,0.032124896,0.014162983,0.032256808,0.235466019,0.10,0.04,12924
input/test_n1000_m80000_f1_no2.utv,1000,80000,2,0,6,0,0.153710711,0.033430435,17.584528216,0.017935039,17.789604401,17.53,0.10,102408
input/test_n1000_m80000_f1_no3.utv,1000,80000,2,0,7,0,0.160166782,0.035672174,21.064076587,0.023506872,21.283422415,19.15,0.08,102408
input/test_n1000_m90000_f1_no1.utv,1000,90000,2,0,7,0,0.212441783,0.147228990,21.863613007,0.020533261,22.243817041,21.78,0.10,103348
input/test_n1000_m90000_f1_no2.utv,1000,90000,1,0,6,0,0.185228994,0.074867227,0.023417784,0.047675344,0.331189349,0.18,0.05,14428
input/test_n1000_m90000_f1_no3.utv,1000,90000,1,0,7,0,0.156317399,0.043584438,0.018106250,0.023273496,0.241281583,0.14,0.04,14504
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0,5,0,0.169466850,0.079245583,0.026794329,0.041221002,0.316727764,0.21,0.04,15996
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0,6,0,0.161830837,0.122452080,0.030566483,0.035993960,0.350843360,0.24,0.05,16012
input/test_n1000_m100000_f1_no3.utv,1000,100000,2,0,5,0,0.146155661,0.058128412,30.036713036,0.040355634,30.281352743,27.38,0.09,104288
input/test_n1000_m110000_f1_no1.utv,1000,110000,2,0,6,0,0.156383805,0.150434475,29.105948737,0.062830686,29.475597703,27.87,0.11,105220
input/test_n1000_m110000_f1_no2.utv,1000,110000,1,0,6,0,0.206877711,0.162943050,0.068442766,0.085679811,0.523943338,0.27,0.05,17456
input/test_n1000_m110000_f1_no3.utv,1000,110000,1,0,4,0,0.278567447,0.196116301,0.090626616,0.119051796,0.684362160,0.27,0.06,17512
input/test_n1000_m120000_f1_no1.utv,1000,120000,1,0,5,0,0.169630852,0.131342838,0.043645831,0.045429875,0.390049396,0.29,0.06,18980
input/test_n1000_m120000_f1_no2.utv,1000,120000,1,0,6,0,0.276275854,0.338664244,0.087652962,0.124904404,0.827497464,0.34,0.06,18936
input/test_n1000_m120000_f1_no3.utv,1000,120000,2,0,6,0,0.223503633,0.261469223,29.204891068,0.099861733,29.789725657,29.35,0.13,106160
input/test_n1000_m130000_f1_no1.utv,1000,130000,1,0,5,0,0.176390934,0.096011895,0.032809677,0.035155880,0.340368386,0.23,0.06,20508
input/test_n1000_m130000_f1_no2.utv,1000,130000,2,0,5,0,0.215882486,0.118343607,32.478382584,0.100413487,32.913022164,31.58,0.14,107096
input/test_n1000_m130000_f1_no3.utv,1000,130000,1,0,5,0,0.201962996,0.179044570,0.122654613,0.142393342,0.646055521,0.42,0.06,20580
input/test_n1000_m140000_f1_no1.utv,1000,140000,1,0,5,0,0.189970953,0.128038114,0.038551197,0.065812272,0.422372536,0.30,0.05,21984
input/test_n1000_m140000_f1_no2.utv,1000,140000,2,0,4,0,0.229665999,0.158470916,51.108252267,0.170786475,51.667175657,48.77,0.11,108036
input/test_n1000_m140000_f1_no3.utv,1000,140000,2,0,7,0,0.196906889,0.142657249,46.955665057,0.051916253,47.347145448,44.88,0.16,108032
input/test_n1000_m150000_f1_no1.utv,1000,150000,2,0,4,0,0.319565754,0.145466532,41.926117950,0.108046294,42.499196530,40.18,0.14,108972
input/test_n1000_m150000_f1_no2.utv,1000,150000,1,0,5,0,0.203285424,0.153121456,0.061413478,0.106455509,0.524275867,0.36,0.09,23448
input/test_n1000_m150000_f1_no3.utv,1000,150000,1,0,4,0,0.270890683,0.097574870,0.037587328,0.107569763,0.513622644,0.27,0.08,23448
input/test_n1000_m160000_f1_no1.utv,1000,160000,1,0,7,0,0.235766200,0.212184005,0.053503629,0.087799737,0.589253571,0.40,0.09,24924
input/test_n1000_m160000_f1_no2.utv,1000,160000,2,0,4,0,0.325353355,0.276622668,47.061068571,0.081791296,47.744835890,45.12,0.14,109912
input/test_n1000_m160000_f1_no3.utv,1000,160000,2,0,4,0,0.213848153,0.109248874,61.517610313,0.176506365,62.017213705,57.94,0.12,109912
