input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,algorithm,user,system,maximum resident set size (kB)
input/test_n1000_m120000_f1_no3.utv,1000,120000,2,0,6,0,0.081743806,0.055910855,11.166696758,0.017662120,11.240269733,11.27,0.01,20160
input/test_n1000_m130000_f1_no1.utv,1000,130000,1,0,5,0,0.063634000,0.058763931,0.023116965,0.023629341,0.105510237,0.13,0.01,21724
input/test_n1000_m130000_f1_no2.utv,1000,130000,2,0,5,0,0.059278897,0.056183384,12.309325185,0.020372136,12.385880705,12.42,0.01,21720
input/test_n1000_m130000_f1_no3.utv,1000,130000,1,0,5,0,0.060876313,0.059024200,0.024096155,0.023399495,0.106519850,0.13,0.01,21728
input/test_n1000_m140000_f1_no1.utv,1000,140000,1,0,5,0,0.073216842,0.062737861,0.025036926,0.025814457,0.113589244,0.14,0.01,23284
input/test_n1000_m140000_f1_no2.utv,1000,140000,2,0,4,0,0.071979725,0.061809197,13.864053250,0.021654190,13.947516637,13.99,0.01,23280
input/test_n1000_m140000_f1_no3.utv,1000,140000,2,0,7,0,0.070747950,0.075455574,13.700570532,0.021425118,13.797451224,13.83,0.01,23284
input/test_n1000_m150000_f1_no1.utv,1000,150000,2,0,4,0,0.074801174,0.063408705,15.037671284,0.024018054,15.125098043,15.16,0.01,24848
input/test_n1000_m150000_f1_no2.utv,1000,150000,1,0,5,0,0.155878499,0.070012958,0.028440863,0.033906423,0.132360244,0.17,0.01,24848
input/test_n1000_m150000_f1_no3.utv,1000,150000,1,0,4,0,0.451350201,0.066337949,0.028938452,0.030699662,0.125976063,0.16,0.01,24852
input/test_n1000_m160000_f1_no1.utv,1000,160000,1,0,7,0,0.276888294,0.127813167,0.033056072,0.038267469,0.199136708,0.24,0.00,26412
input/test_n1000_m160000_f1_no2.utv,1000,160000,2,0,4,0,0.196109723,0.089889106,22.509030534,0.032454377,22.631374017,22.68,0.01,26416
input/test_n1000_m160000_f1_no3.utv,1000,160000,2,0,4,0,0.072163673,0.088034492,23.265288292,0.034767988,23.388090772,23.43,0.01,26412
input/test_n1000_m170000_f1_no1.utv,1000,170000,2,0,6,0,0.082091108,0.137237362,27.082421441,0.038878756,27.258537559,27.30,0.02,27972
input/test_n1000_m170000_f1_no2.utv,1000,170000,1,0,5,0,0.084646628,0.114904527,0.036580819,0.041654111,0.193139457,0.24,0.00,27968
input/test_n1000_m170000_f1_no3.utv,1000,170000,1,0,6,0,0.073044759,0.130706533,0.036407594,0.041832266,0.208946393,0.25,0.01,27976
input/test_n1000_m180000_f1_no1.utv,1000,180000,2,0,5,0,0.084241047,0.126692640,29.124408787,0.040496495,29.291597922,29.34,0.01,29536
input/test_n1000_m180000_f1_no2.utv,1000,180000,1,0,5,0,0.088942755,0.123376036,0.038149575,0.044532167,0.206057778,0.26,0.01,29532
input/test_n1000_m180000_f1_no3.utv,1000,180000,1,0,6,0,0.091881104,0.140738909,0.038523969,0.045343808,0.224606686,0.27,0.01,29536
input/test_n1000_m190000_f1_no1.utv,1000,190000,1,0,4,0,0.081799484,0.119815173,0.040290086,0.048825440,0.208930699,0.25,0.01,31104
input/test_n1000_m190000_f1_no2.utv,1000,190000,2,0,3,0,0.080501198,0.103071364,37.340333903,0.073898720,37.517303987,37.57,0.01,31100
input/test_n1000_m190000_f1_no3.utv,1000,190000,2,0,6,0,0.087825284,0.123858595,23.309709397,0.035290349,23.468858341,23.51,0.01,31100
input/test_n1000_m200000_f1_no1.utv,1000,200000,2,0,4,0,0.089143522,0.104113211,25.805306376,0.038942488,25.948362075,26.00,0.01,32664
input/test_n1000_m200000_f1_no2.utv,1000,200000,1,0,5,0,0.088349548,0.116520852,0.044330533,0.047142046,0.207993431,0.26,0.01,32660
input/test_n1000_m200000_f1_no3.utv,1000,200000,2,0,4,0,0.098284451,0.136001387,46.380987871,0.079254760,46.596244018,46.63,0.02,32660
