input file,variables,constraints,f,false positives,main loop iterations,negative cycle length,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f1_no1.utv,1000,10000,2,0,13,0,0.025145059,0.004929563,2.212967057,0.002010755,2.245052434,2.18,0.04,95812
input/test_n1000_m10000_f1_no2.utv,1000,10000,2,0,13,0,0.027603582,0.004950774,2.229808380,0.001700339,2.264063075,2.19,0.05,95564
input/test_n1000_m10000_f1_no3.utv,1000,10000,2,0,16,0,0.028584961,0.005868385,2.241982827,0.001678818,2.278114991,2.20,0.05,95808
input/test_n1000_m20000_f1_no1.utv,1000,20000,1,0,13,0,0.034723614,0.010599123,0.003803187,0.002052337,0.051178261,0.02,0.00,4012
input/test_n1000_m20000_f1_no2.utv,1000,20000,1,0,11,0,0.036421178,0.009351516,0.003813808,0.002025051,0.051611553,0.02,0.00,3996
input/test_n1000_m20000_f1_no3.utv,1000,20000,2,0,12,0,0.035372311,0.010180808,3.010109450,0.003198055,3.058860624,2.98,0.05,96768
input/test_n1000_m30000_f1_no1.utv,1000,30000,2,0,14,0,0.050629824,0.019372190,3.955769191,0.005331683,4.031102888,3.93,0.07,97712
input/test_n1000_m30000_f1_no2.utv,1000,30000,1,0,7,0,0.051028301,0.011407177,0.005592761,0.003536753,0.071564992,0.03,0.01,5516
input/test_n1000_m30000_f1_no3.utv,1000,30000,1,0,7,0,0.048045324,0.011461195,0.005676568,0.003461071,0.068644158,0.03,0.01,5548
input/test_n1000_m40000_f1_no1.utv,1000,40000,1,0,8,0,0.062106011,0.016376662,0.007225078,0.005039284,0.090747035,0.04,0.02,7028
input/test_n1000_m40000_f1_no2.utv,1000,40000,1,0,5,0,0.063688244,0.012960134,0.007373395,0.005156595,0.089178368,0.05,0.01,7036
input/test_n1000_m40000_f1_no3.utv,1000,40000,1,0,8,0,0.058810787,0.017751589,0.007327338,0.005007357,0.088897071,0.04,0.02,7032
input/test_n1000_m50000_f1_no1.utv,1000,50000,2,0,7,0,0.071258252,0.019593829,5.767420047,0.009680590,5.867952718,5.77,0.07,99596
input/test_n1000_m50000_f1_no2.utv,1000,50000,1,0,6,0,0.067817521,0.018800397,0.009073942,0.007565428,0.103257288,0.06,0.02,8468
input/test_n1000_m50000_f1_no3.utv,1000,50000,1,0,7,0,0.075571202,0.020735816,0.009081437,0.007378751,0.112767206,0.07,0.01,8476
input/test_n1000_m60000_f1_no1.utv,1000,60000,1,0,6,0,0.083621309,0.023303958,0.011117119,0.010601538,0.128643924,0.07,0.03,10052
input/test_n1000_m60000_f1_no2.utv,1000,60000,2,0,8,0,0.085170450,0.026588051,6.761392392,0.011987204,6.885138097,6.78,0.08,100532
input/test_n1000_m60000_f1_no3.utv,1000,60000,2,0,8,0,0.086343873,0.028323719,6.794190243,0.012385532,6.921243367,6.81,0.08,100528
input/test_n1000_m70000_f1_no1.utv,1000,70000,2,0,6,0,0.092489721,0.028153882,7.827743480,0.014343603,7.962730686,7.86,0.08,101468
input/test_n1000_m70000_f1_no2.utv,1000,70000,1,0,5,0,0.093554502,0.024718845,0.012885774,0.013878834,0.145037955,0.08,0.03,11464
input/test_n1000_m70000_f1_no3.utv,1000,70000,1,0,9,0,0.095663322,0.038028775,0.012897018,0.011845470,0.158434585,0.11,0.02,11540
input/test_n1000_m80000_f1_no1.utv,1000,80000,1,0,6,0,0.106500074,0.033031719,0.014527184,0.016885508,0.170944485,0.10,0.03,12924
input/test_n1000_m80000_f1_no2.utv,1000,80000,2,0,6,0,0.105381781,0.030698254,8.985682212,0.017517722,9.139279969,9.03,0.09,102404
input/test_n1000_m80000_f1_no3.utv,1000,80000,2,0,7,0,0.109823759,0.036725763,8.940434863,0.017307350,9.104291735,8.99,0.08,102408
input/test_n1000_m90000_f1_no1.utv,1000,90000,2,0,7,0,0.117961110,0.042763390,10.327428623,0.020758131,10.508911254,10.38,0.10,103348
input/test_n1000_m90000_f1_no2.utv,1000,90000,1,0,6,0,0.121719876,0.038511739,0.017131902,0.017158854,0.194522371,0.11,0.05,14428
input/test_n1000_m90000_f1_no3.utv,1000,90000,1,0,7,0,0.206189169,0.042784897,0.017039506,0.019198351,0.285211923,0.14,0.03,14504
input/test_n1000_m100000_f1_no1.utv,1000,100000,1,0,5,0,0.333969405,0.037318732,0.020047432,0.327155017,0.718490586,0.13,0.04,16000
input/test_n1000_m100000_f1_no2.utv,1000,100000,1,0,6,0,0.294929638,0.046350436,0.020874008,0.290765525,0.652919607,0.14,0.06,16008
