input file,variables,constraints,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m170000_f2_no2.utv,1000,170000,0.413237,34.946494,,0.236525,35.596256,35.42,0.17,22752
input/test_n1000_m170000_f2_no3.utv,1000,170000,0.408883,34.838998,,0.232971,35.480852,35.31,0.16,22764
input/test_n1000_m180000_f2_no1.utv,1000,180000,0.448505,37.005805,,0.249406,37.703716,37.53,0.17,23976
input/test_n1000_m180000_f2_no2.utv,1000,180000,0.447058,37.104843,,0.247820,37.799721,37.64,0.16,24012
input/test_n1000_m180000_f2_no3.utv,1000,180000,0.429657,37.185140,,0.256894,37.871691,37.68,0.19,24000
input/test_n1000_m190000_f2_no1.utv,1000,190000,0.456151,39.272938,,0.266248,39.995337,39.79,0.20,25244
input/test_n1000_m190000_f2_no2.utv,1000,190000,0.456834,39.132037,,0.275841,39.864712,39.71,0.15,25264
input/test_n1000_m190000_f2_no3.utv,1000,190000,0.462222,39.594430,,0.279056,40.335708,40.18,0.15,25196
input/test_n1000_m200000_f2_no1.utv,1000,200000,0.473421,41.467006,,0.297921,42.238348,42.06,0.17,26516
input/test_n1000_m200000_f2_no2.utv,1000,200000,0.470296,41.112637,,0.299458,41.882391,41.74,0.14,26540
input/test_n1000_m200000_f2_no3.utv,1000,200000,0.466007,41.034312,,0.288210,41.788529,41.63,0.16,26472
