input file,variables,constraints,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n16000_m100000_f2_no3.utv,16000,100000,0.211380,648.934633,,0.025774,649.171787,649.08,0.09,12012
input/test_n17000_m100000_f2_no1.utv,17000,100000,0.212709,703.229928,,0.025916,703.468553,703.40,0.07,12076
input/test_n17000_m100000_f2_no2.utv,17000,100000,0.215386,703.479396,,0.026059,703.720841,703.65,0.07,12072
input/test_n17000_m100000_f2_no3.utv,17000,100000,0.216047,702.267793,,0.026957,702.510797,702.44,0.07,12096
input/test_n18000_m100000_f2_no1.utv,18000,100000,0.216536,747.931193,,0.025770,748.173499,748.10,0.06,12168
input/test_n18000_m100000_f2_no2.utv,18000,100000,0.230530,752.909437,,0.025928,753.165895,753.10,0.06,12204
input/test_n18000_m100000_f2_no3.utv,18000,100000,0.225026,768.809370,,0.027060,769.061456,768.99,0.07,12176
input/test_n19000_m100000_f2_no1.utv,19000,100000,0.223570,815.231582,,0.027629,815.482781,815.40,0.08,12224
input/test_n19000_m100000_f2_no2.utv,19000,100000,0.219233,841.364084,,0.027331,841.610648,841.54,0.07,12256
input/test_n19000_m100000_f2_no3.utv,19000,100000,0.223455,824.912482,,0.026154,825.162091,825.10,0.06,12252
input/test_n20000_m100000_f2_no1.utv,20000,100000,0.223189,898.643700,,0.027483,898.894372,898.82,0.08,12320
input/test_n20000_m100000_f2_no2.utv,20000,100000,0.220758,860.986386,,0.026295,861.233439,861.16,0.07,12280
input/test_n20000_m100000_f2_no3.utv,20000,100000,0.229804,852.025487,,0.026371,852.281662,852.21,0.06,12348
